Pattern,Example,ArticleType,Style,Keywords,DoNot
日常的口語型,ひさしぶりにnoteをかきます。暇だからです。,ファン感情系,口語・親密・自虐的,日常 口語 ひさしぶり 暇,「今日は〜について書きます」（つまらない）
痛点直撃型,わりと複数の企業のお悩みが「そもそも生成AIでやるべきでない問い」に挑んでいる,IT専門インサイト系,冷静・専門的・直接,痛点 問題 企業 悩み 直接,長い背景説明から始める
常識覆し型,「〜」は「〜」と思われているが、実は〜,社会評論系,批判的・客観的・啓発的,常識 実は 覆す 誤解 思われている,平凡な事実確認
告白懺悔型,正直に言います。ここ数ヶ月、複数のベンダーさんから「進捗どうですか？」とメールをいただいていました。嘘です。検討なんてしていませんでした。,IT告白懺悔系,告白・直接・衝撃,告白 正直 嘘 懺悔 申し訳,愚痴から始める
衝撃的主張型,「コードを書くのが好きなら、趣味にしておきなさい。仕事にするのは、もうやめたほうがいい」,ITキャリア警告系,衝撃・挑発・逆説,警告 やめろ するな 衝撃 逆説,根拠なき極論
共感悩み型,おしゃれなカフェやホテルに行くと落ち着くのに、家に帰ると現実に引き戻される…,ITハウツー実用系,共感・悩み・日常,悩み 共感 困っている 解決 問題,専門用語の羅列
問題状況型,〜が終わったものの諸々エラーを吐いて起動不能,ITトラブルシューティング系,具体的・技術的・状況描写,エラー 問題 起動 バグ 不具合,言い訳（「詳しくないですが」）
挑発的問いかけ型,DDDって結局何なの？本を読んでも抽象的な説明ばかりで実際どう使えばいいのか分からない,IT技術解説系,挑発・問いかけ・あるある,結局 分からない あるある 何なの,「〇〇について解説します」（平凡）
帰宅発見型,高校から帰ったら、母が電話しながら笑っていた,エッセイ系,日常・短い・異変,帰った 帰宅 発見 気づいた 異変,長い前置き / 自己紹介
岸田奈美型,仕事から帰ったら、祖母がいなかった,エッセイ系,一文・短い・すぐに「異変」,帰ったら いなかった 泣いていた 笑っていた,抽象的な感想（「人生とは不思議なもので」）
行動開始型,朝からけっこうガチの雪雲が出ていたので大丈夫かなあと首をひねりながら出勤,日記系,口語・日常・行動から,朝から 出勤 行った 始めた,改行多用 / 挨拶文
状態描写型,肩がバキバキになっている。たぶん昨日の姿勢が悪かったのだろう,日記系,口語・身体・状態,なっている 痛い バキバキ 状態,大げさな感情表現
時間日付型,気づいたら午後3時だった。原稿が1行も進んでいない,日記系,時間言及・自虐,気づいたら 午後 曜日 時間,説教 / 教訓
発見気づき型,変な夢を見た。猫が全員二足歩行していた,日記系,日常・意外性,夢を見た 気づいた 見つけた,結論から入る
さすらい型,今からかなり昔、やたら顔がいい男と付き合っていた,ファン感情系,口語・時間曖昧・核心直入,昔 付き合っていた いきなり やたら,時間の正確な特定
読者課題共感型,「○○ツール多すぎてどれを選べばいいか分からない」そんな悩みを持つ方は多いのではないでしょうか,ツールまとめ系,共感・問題提起・価値提案,ツール 選べない 多すぎ 悩み おすすめ,いきなりツール紹介
統計データ型,[統計データ]によると[調査結果]。つまり[重要性]ということです。この記事では[数字]個厳選しました,ツールまとめ系,データ・権威・厳選,調査 データ 統計 によると 厳選,データの出典不明
Zennメタファー型,上様（人間）→ 将軍（Claude）→ 家老（Claude）→ 足軽×8（Claude）,Zenn技術記事系,メタファー・図・技術,メタファー 構造図 一目 視覚,技術用語だけで説明
Before/After型,読む前：DDDの用語は知ってるけど使いこなせない → 読んだ後：実際のプロジェクトで適用できる,IT技術解説系,対比・価値提示,読む前 読んだ後 Before After,価値が不明確
