Type,SubType,Platform,Characteristics,TargetLikes,Keywords,Structure,Examples
ファン感情系,一般,note.com,個人的な体験・心の軌跡・成長の変化。高度共鳴・情感真実・故事性強,5000-10000,ファン 感情 推し 成長 変化 共感 体験 エッセイ,日常的切入→背景紹介→転機→気づき・和解,さよなら狂ってたわたし / 元セクラバがtimeleszファンに
専門インサイト系,一般,note.com,業界分析・技術解説・実用アドバイス。有価値・権威・シェアされやすい,2000-5000,専門 分析 解説 インサイト ビジネス フレームワーク,問題提示→本質分析→解決策→まとめ,noteの推しアルゴリズムについて / 企業のコンテンツ戦略
社会評論系,一般,note.com,社会現象・文化比較・深い考察。批判的・啓発的・議論を呼ぶ,2000-3500,社会 評論 批判 文化 考察 議論 現象,常識覆す視点→深い論証→思考の啓発,レアアースが隠しているもの / 非合理が生んだ中国のガールズバンド
IT告白懺悔系,IT,note.com,業界人としての率直な告白・内部事情暴露。「加害者」から語る,5000-10000,IT 告白 懺悔 SaaS DX 内部 暴露 情シス,告白→言い訳→地獄描写→構造的問題→提案→懺悔と希望,御社SaaS導入を止めていたのは私です(8499スキ)
IT専門インサイト系,IT,note.com,技術的な深い洞察・業界分析。問題の本質を分類・整理,3000-6000,IT 技術 専門 AI 生成AI LLM 分析 洞察,問題観察→本質→分類整理→原因分析→提言→まとめ,生成AIでやるべきでない問い(5291スキ)
ITキャリア警告系,IT,note.com,キャリアに関する警告やアドバイス。衝撃的主張から始める,2000-4000,IT キャリア 警告 転職 エンジニア プログラミング,衝撃的主張→過去→現在→未来予測→提言→エール,プログラミングが好きな人はIT業界に来るな(1948スキ)
ITハウツー実用系,IT,note.com,具体的な問題解決方法・ツール紹介。ステップバイステップ,2000-4000,IT ハウツー 実用 解決 ツール 方法 設計,問題共有→詳細→原因特定→解決策→結果→Tips,窓なし部屋でも朝は作れる(3361スキ) / AI毎日投稿自動化(2900スキ)
ITトラブルシューティング系,IT,note.com,エラー解決・技術的問題対処。自分の失敗談から始めると効果的,2000-5000,IT エラー トラブル バグ 解決 修復 デバッグ,問題状況→症状→原因→解決手順→確認→まとめ,タルコフ初回プレイエラー解決(4728スキ)
AI DX論考系,IT,note.com,AI時代の変化・DXの考察。トレンド×定番技術で広い層にリーチ,2000-6000,AI DX 論考 時代 変化 トレンド 未来,時代の変化→常識への疑問→具体例→展望→示唆,20年で39億稼いだノウハウをAIに(2943スキ)
日記系,椹野道流,note.com,一段落完結・改行なし・200-350字。口語体で日常を淡々と描く,500-2000,日記 日常 猫 椹野道流 エッセイ 食べ物 体調,書き出し1文→経緯→エピソード→脱線→軽い感想,たぶん誰も読まない日記（カレー）
エッセイ系,岸田奈美,note.com,100字で済むことを2000字で書く。笑いと感動の同居。会話が命,10000-20000,エッセイ 岸田奈美 家族 日常 笑い 感動 比喩,日常の一コマ→背景→問題→緊張→ズレ連続→転換→感動→オチ,弟が万引きを疑われ母は赤べこになった / 祖母がスマホを買いに行ったら店員が泣き出した
ツールまとめ系,キュレーション,note.com/Zenn,ツール比較・厳選紹介。網羅性×厳選性×実用性,2000-5000,ツール まとめ 比較 おすすめ 厳選 AI 無料 有料,リード文→対象者→選定基準→カテゴリ別紹介→比較表→まとめ,AI執筆ツール10選 / スタートアップスタック完全ガイド50選
Zenn技術記事系,バズり,Zenn,強烈なメタファー×予想外の結果×笑いと技術の同居。再現可能性が重要,100-1000いいね,Zenn 技術 バズ メタファー エピソード GitHub コード,興味喚起→全体図→特徴列挙→神回エピソード→技術詳細→コスト→リポジトリ,AI部下10人を作ったら勝手にバグ直して切腹ルールを追加してきた
IT技術解説系,バズり,note.com/Zenn,完全攻略ガイド形式。悪い例→良い例のセットが核心,3000-8000,技術 解説 DDD 完全攻略 ガイド プログラミング 設計,フック→痛み共感→信頼性→Before/After→章立て→失敗集→まとめ,DDD完全攻略ガイド / Claudeに渡すべきもの
