Pattern,Formula,Example,ArticleType,Platform,Keywords,DoNot
〜について型,「[トピック]について」,noteの推しアルゴリズムについて,専門インサイト系,note.com,について 解説 分析 説明,曖昧すぎるトピック（「AIについて」→NG）
隠された真実型,「[対象]が隠しているもの」,「レアアース」という言葉が隠しているもの,社会評論系,note.com,隠している 本当の 実は 真実,ネタバレしすぎない
感想体験型,「【感想】[体験]」「[体験]してみた」,【感想】元セクラバがtimeleszのファンになったことについて,ファン感情系,note.com,感想 体験 レビュー やってみた,「感動した話」のような抽象的タイトル
根本問題型,「そもそも[問題]」,「そもそも生成AIでやるべきでない問い」に企業が挑む問題,IT専門インサイト系,note.com,そもそも 本質 根本 問題,一般的すぎる問い
因果関係型,「[原因]が生んだ[結果]」,非合理が生んだ中国のガールズバンド人気,社会評論系,note.com,生んだ 生み出した 作った 原因,因果が不明確
アイデンティティ変化型,「元[過去]が[現在]」,元timeleszの亡霊日記,ファン感情系,note.com,元 として 視点 から 立場,過去の肩書きに依存しすぎ
理由探求型,「なぜ[現象]なのか」「[行動]理由」,僕がnoteを書こうと思った理由,全般,note.com,なぜ 理由 わけ どうして,答えが明白すぎる問い
IT告白型,「[対象者]の皆様、[問題]を[動詞]のは、私です」,ITベンダーの皆様、御社SaaSの導入を社内で止めていたのは、私です,IT告白懺悔系,note.com,告白 懺悔 私です 止めていた 皆様,対象者が不明確
IT逆説警告型,「[行為]するな」「[行為]してはいけない」,プログラミングが好きな人は、もうIT業界に来るな,ITキャリア警告系,note.com,するな してはいけない 来るな 逆説 警告,根拠なき極論
IT内部暴露型,「[場所]に[期間]いて思ったこと」,スタートアップとかいう界隈に3年いて思ったこと,IT告白懺悔系,note.com,思ったこと いて 内部 暴露 本音,経験の裏付けがない
IT数字インパクト型,「[期間]で[数字][成果]」,20年で39億稼いだコピーライティングノウハウをAIに喰わせたら,AI DX論考系,note.com,数字 年 億 稼いだ 件 回,誇張した数字
IT解決策提示型,「[手段]で[目標]」「[ジャンル]術」,窓なし部屋でも「朝」は作れる。光のデスク設計術,ITハウツー実用系,note.com,術 方法 解決 できる 作れる,実現不可能な約束
岸田奈美型,「[深刻な状況]+[意外な比喩・展開]」,弟が万引きを疑われ、そして母は赤べこになった,エッセイ系,note.com,意外 比喩 固有名詞 家族 日常,抽象的すぎる（「母のこと」→NG）
岸田奈美型2,「[行為]したら、[予想外の人]が[予想外の反応]」,祖母がスマホを買いに行ったら、店員が泣き出した,エッセイ系,note.com,したら なった 泣き出した 笑った,ネタバレしすぎ / 暗すぎる
椹野道流型,「たぶん誰も読まない日記（[1-5字キーワード]）」,たぶん誰も読まない日記（カレー）,日記系,note.com,日記 たぶん 誰も読まない 椹野道流,キーワードが長すぎる / 説明的
Zennバズり型,「[ツール]で「[成果物]」を作ったら、[予想外①]して、[予想外②]になった」,Claude Codeで「AI部下10人」を作ったら、勝手にバグ直して「違反は切腹」ルールを追加してきた,Zenn技術記事系,Zenn,作ったら なった 予想外 バズ 技術,予想外が弱い / 技術的不正確
Zenn完全攻略型,「【実践】[技術名]完全攻略ガイド」「[技術]入門」,[実践]DDD完全攻略ガイド,IT技術解説系,Zenn,完全 攻略 ガイド 入門 実践 徹底,内容が浅い
ツールまとめ型,「【[年号]年最新】[カテゴリ][数字]選｜[差別化]」,【2026年最新】AI執筆ツール10選！実際に使って見つけた最適解,ツールまとめ系,note.com,ツール 選 最新 おすすめ 比較 厳選,年号なし / 数字なし
ツール完全ガイド型,「[対象]スタック完全ガイド：[数字]選」,スタートアップスタック完全ガイド：ツール50選,ツールまとめ系,note.com,完全ガイド スタック 一覧 徹底 全カテゴリ,網羅性の裏付けなし
ツール保存版型,「【保存版】[カテゴリ]一覧：全[数字]カテゴリ」,【保存版】生成AIサービス一覧：全16カテゴリ徹底解説,ツールまとめ系,note.com,保存版 一覧 カテゴリ 徹底,カテゴリ分けが不明確
さすらい型,「[会話の断片・叫び声]」,そこ！どこ？そこ！,ファン感情系,note.com,さすらい 断片 叫び 短い 詩的,説明的なタイトル
好奇心刺激型,「[疑問]+[意外な答え]」,なぜ店員が泣いたのか,全般,note.com,なぜ 本当の 実は 隠された,答えが明白すぎる
数字具体型,「[数字]つの[対象]」「[数字]年間の[経験]」,5つの方法 / 3年間の記録,全般,note.com,数字 つの 年間 回 選,数字に根拠がない
感情語型,感情的な言葉をタイトルに含む,さよなら、狂ってたわたし,ファン感情系,note.com,炎の 狂ってた 本当の 絶望 感動,過度な煽り
時効性型,「[年号]」「今」「これからの」を含む,2026年これからのAI時代,IT専門インサイト系,note.com,2026 最新 今 これから 時代,古い情報を最新と偽る
