Pattern,Example,ArticleType,Keywords,DoNot
共感求め型,みなさんの会社でも同じようなことが起きていませんか？,IT告白懺悔系,共感 求める 問いかけ 仲間 あるある,解決を押し付ける
問題提起型,みなさんはどう思いますか？この問題について、もっと議論が必要だと感じています,社会評論系,問題提起 議論 どう思う 考えて,確定答えを出す / 独断的
シンプル締め型,参考になれば幸いです / 今後も〜について発信していきます,IT専門インサイト系,参考 幸い 今後 発信 締め,「以上です」（あっさりすぎ） / 新しい論点の導入
エール警告型,それでもプログラミングが好きなら趣味でやりなさい。自分で考えて自分で決めてください,ITキャリア警告系,エール 警告 判断 委ねる 主体性,読者の選択を否定
実用性確認型,同じ問題で困っている方の参考になれば。他にも解決法があればコメントで教えてください,ITハウツー実用系,参考 コメント 解決 困っている コミュニティ,「よくわかりませんが」（専門性を損なう）
建設的提案型,だからITベンダーの皆様へ一つだけお願いがあります。「通訳不要キット」を作ってください,IT告白懺悔系,提案 お願い 建設的 Win-Win 具体的,単なる愚痴で終わる / 過度な宣伝
感情和解型,〜と思う今日この頃です / これからも〜していきたいと思います,ファン感情系,和解 成長 今日この頃 これから 変化,「大したことない文章ですが」（過度な謙遜）
開放性問い型,答えはまだ見つかっていませんが〜 / この質問の背景をClaudeは知っているか？,社会評論系,答え 問い 考え 開放 余地,書き出しの単純な繰り返し
オチ余韻型（本人自覚なし）,「ばあちゃんなんで店員さん泣いてたの？」「知らん」,エッセイ系,オチ 余韻 自覚なし 知らん 本人,教訓を述べる（「この経験から学んだのは」）
オチ余韻型（日常に戻る）,祖母は今日もスマホで猫を見ている,エッセイ系,余韻 日常 今日も 戻る 穏やか,長い感想（「本当に感動した一日だった」）
オチ余韻型（小さな変化）,祖母の電話帳には今も3つしか番号が入っていない。でも最近4つ目が増えた,エッセイ系,変化 小さな でも 最近 増えた,大げさな結末（「一生忘れない」）
オチ余韻型（名言締め）,それでいいのだ。それで十分なのだ,エッセイ系,名言 締め 十分 いい のだ,説教（「皆さんも家族を大切に」） / 「おしまい」（投げやり）
比喩で締める型,Claudeは道具です。包丁と同じ。切れ味は最高。でも何を切るかどう切るかは使う人が決める,IT技術解説系,比喩 道具 包丁 締め 印象,「〜が重要です」で終わる（行動に繋がらない）
アクションアイテム型,今日から始められること: ①ユビキタス言語を作る ②ドメインモデルを描く ③境界を意識する,IT技術解説系,アクション 今日から 始める リスト 実行,抽象論で終わる
スローガン型,One human. One command. Eight agents.,Zenn技術記事系,スローガン 一言 拡散 SNS 記憶,長い説明で締める
