Technique,Description,Example,ArticleType,Keywords,Do,DoNot
自虐ユーモア,自分の失敗や無力さを笑いに変える,「さよなら、狂ってたわたし」「給料のほとんどをグッズに使っていた」,ファン感情系,自虐 ユーモア 失敗 笑い,過度でない適度な自虐。誠実な内省。成長を見せる,過度に自分を卑下する / パフォーマンス的な反省
理想vs現実ギャップ,業界の建前と現場の本音の対比,DXプロジェクト推進中 → WindowsXP風社内システムで精算,IT告白懺悔系,理想 現実 ギャップ 対比 建前 本音,読者が「あるある」と思える皮肉を入れる,根拠のない批判
逆説的主張,常識を覆す視点で注目を集める,「プログラミングが好きな人はIT業界に来るな」,ITキャリア警告系,逆説 常識 覆す 反直感 挑発,強い主張の後にニュアンスを加える。バランスも示す,根拠なき極論 / 炎上狙い
具体的数字,抽象表現を具体数字に変換,「3ヶ月間12社のベンダーに同じ返信」「社内ポータルを30分探しても見つからない」,全般,数字 具体 期間 金額 件数,時間・場所・行動・金額で具体化,「しばらく」「いくつか」等の曖昧表現
感情の具体化,抽象的感情を具体的描写に変換,✗「とても辛かった」→ ✓「毎日深夜に記事を書きまくっては朝ろくに寝ずに会社に向かっていた」,ファン感情系,感情 具体 描写 シーン 行動,時間+場所+行動+数字で具体化する,「感動した」と空虚に述べる
キャッチフレーズ化,状況にキャッチーな名前をつける,承認プロセス→「印鑑ラリー」/ 説明繰り返し→「通訳地獄」/ 社内ルール不明→「社内謎解き」,IT告白懺悔系,キャッチフレーズ 造語 ラリー 地獄 迷宮,漢字2-4文字+カタカナ。ゲーム・RPG用語の転用,長すぎる造語
対比構造,ベンダーの認識 vs 現実を並べる,御社SaaSが止まっている理由: ❌機能が悪い ❌高い ⭕「面倒の三重苦」を超える体力がない,IT告白懺悔系,対比 認識 現実 vs 比較,リスト形式で違いを明示,対比が不明確
リスト形式の活用,承認者ごとの「言語」の違いを列挙,課長向け: ROI・コスト / 部長向け: 他社事例・リスク / 情シス向け: SLA・認証方式,IT告白懺悔系,リスト 列挙 承認 言語 違い,互換性のなさを強調,カテゴリが不明確
会話文テクニック,会話で人物の個性・笑い・感動を作る,「万引きしたん？」「してへん」「ほんまに？」「してへん」（繰り返しパターン）,エッセイ系,会話 セリフ 方言 関西弁 やり取り,短いやり取り。方言を自然に。繰り返しで笑いを作る,説明的な会話 / 長い独白 / 標準語だけ
ズレパターン,認識・価値観・期待のズレで笑いを作る,祖母「5G？新幹線みたいなもん？」/ 祖母「電話帳3つでええねん」,エッセイ系,ズレ 認識 価値観 期待 噛み合わない,認識のズレ・価値観のズレ・反応のズレを使い分ける,ズレが伝わらない / 馬鹿にしている印象
岸田奈美式比喩,日常的な物で感情を表現。意外性のある具体的固有名詞,✗「ずっと頷いていた」→ ✓「赤べこになった」/ ✗「呆然とした」→ ✓「脳みそがうどんを茹ですぎた時みたいに」,エッセイ系,比喩 岸田奈美 赤べこ 日常物 意外,意外性+具体性+読者が想像できる。1記事に3-5個,ありふれた比喩 / 難しい比喩 / 毎文に比喩（疲れる）
感情の緩急,感情の波を設計する,平穏→不安→緊張→笑い→更に緊張→大笑い→感動→余韻,エッセイ系,緩急 感情 波 リズム 緊張 弛緩,笑いの後に真面目に。感動の前に笑いを（ギャップ効果）,一定のトーンが続く / ずっと高揚
間と空白,改行と空白行で「間」を作る,「店員さんはここで泣いたらしい。」---（空白）「写真は移しましょうか」,エッセイ系,間 空白 改行 余韻 「らしい」,転換点で「---」。「らしい」で客観視して距離感を作る,間がない / 詰め込みすぎ
